5, 2053, m, 2059, f, 2004, m, 2005, f, 2053 2047 2045 2005 2004 2006 2823 2824 2059 , m2053 m2047 (m2045) f2005 m2004 (m2006) m2823 m2824 f2059 , FFDHFSSD, 2053 2059, 2004 2005, G1, 1, G-2, 1, 4, 4
523, 2485, m, 2614, f, 2207, m, 2497, f, 2485 2198 2196 2194 2207 2497 2499 2605 2607 2526 2529 2614 , m2485 m2198 (m2196) m2194 m2207 f2497 f2499 f2605 (m2607) f2526 m2529 f2614 , FFSSWMMFDSD, 2485 2614, 2207 2497, G0, 2, G0, 3, 5, 6
524, 2485, m, 2614, f, 2207, m, 2497, f, 2485 2198 2196 2194 2207 2497 2499 2605 6117 2526 2529 2614 , m2485 m2198 (m2196) m2194 m2207 f2497 f2499 f2605 (f6117) f2526 m2529 f2614 , FFSSWMMMDSD, 2485 2614, 2207 2497, G0, 2, G0, 3, 5, 6
524, 2485, m, 2614, f, 2207, m, 2497, f, 2485 2198 2196 2194 2207 2497 2499 2605 6117 2526 2529 2614 , m2485 m2198 (m2196) m2194 m2207 f2497 f2499 f2605 (f6117) f2526 m2529 f2614 , FFSSWMMMDSD, 2485 2614, 2207 2497, G0, 2, G0, 3, 5, 6
525, 2485, m, 2614, f, 2207, m, 2497, f, 2485 2198 2197 2194 2207 2497 2499 2605 2607 2526 2529 2614 , m2485 m2198 (f2197) m2194 m2207 f2497 f2499 f2605 (m2607) f2526 m2529 f2614 , FMSSWMMFDSD, 2485 2614, 2207 2497, G0, 2, G0, 3, 5, 6
525, 2485, m, 2614, f, 2207, m, 2497, f, 2485 2198 2197 2194 2207 2497 2499 2605 2607 2526 2529 2614 , m2485 m2198 (f2197) m2194 m2207 f2497 f2499 f2605 (m2607) f2526 m2529 f2614 , FMSSWMMFDSD, 2485 2614, 2207 2497, G0, 2, G0, 3, 5, 6
526, 2485, m, 2614, f, 2207, m, 2497, f, 2485 2198 2197 2194 2207 2497 2499 2605 6117 2526 2529 2614 , m2485 m2198 (f2197) m2194 m2207 f2497 f2499 f2605 (f6117) f2526 m2529 f2614 , FMSSWMMMDSD, 2485 2614, 2207 2497, G0, 2, G0, 3, 5, 6
526, 2485, m, 2614, f, 2207, m, 2497, f, 2485 2198 2197 2194 2207 2497 2499 2605 6117 2526 2529 2614 , m2485 m2198 (f2197) m2194 m2207 f2497 f2499 f2605 (f6117) f2526 m2529 f2614 , FMSSWMMMDSD, 2485 2614, 2207 2497, G0, 2, G0, 3, 5, 6
527, 2485, m, 2614, f, 2207, m, 2497, f, 2485 2200 2474 2475 2202 2195 2207 2497 2499 2605 2607 2526 2529 2614 , m2485 f2200 m2474 (m2475) m2202 f2195 m2207 f2497 f2499 f2605 (m2607) f2526 m2529 f2614 , MFFSDSWMMFDSD, 2485 2614, 2207 2497, G0, 3, G0, 3, 7, 6
527, 2485, m, 2614, f, 2207, m, 2497, f, 2485 2200 2474 2475 2202 2195 2207 2497 2499 2605 2607 2526 2529 2614 , m2485 f2200 m2474 (m2475) m2202 f2195 m2207 f2497 f2499 f2605 (m2607) f2526 m2529 f2614 , MFFSDSWMMFDSD, 2485 2614, 2207 2497, G0, 3, G0, 3, 7, 6
528, 2485, m, 2614, f, 2207, m, 2497, f, 2485 2200 2474 2475 2202 2195 2207 2497 2499 2605 6117 2526 2529 2614 , m2485 f2200 m2474 (m2475) m2202 f2195 m2207 f2497 f2499 f2605 (f6117) f2526 m2529 f2614 , MFFSDSWMMMDSD, 2485 2614, 2207 2497, G0, 3, G0, 3, 7, 6
528, 2485, m, 2614, f, 2207, m, 2497, f, 2485 2200 2474 2475 2202 2195 2207 2497 2499 2605 6117 2526 2529 2614 , m2485 f2200 m2474 (m2475) m2202 f2195 m2207 f2497 f2499 f2605 (f6117) f2526 m2529 f2614 , MFFSDSWMMMDSD, 2485 2614, 2207 2497, G0, 3, G0, 3, 7, 6
529, 2485, m, 2614, f, 2207, m, 2497, f, 2485 2200 2474 2476 2202 2195 2207 2497 2499 2605 2607 2526 2529 2614 , m2485 f2200 m2474 (f2476) m2202 f2195 m2207 f2497 f2499 f2605 (m2607) f2526 m2529 f2614 , MFMSDSWMMFDSD, 2485 2614, 2207 2497, G0, 3, G0, 3, 7, 6
529, 2485, m, 2614, f, 2207, m, 2497, f, 2485 2200 2474 2476 2202 2195 2207 2497 2499 2605 2607 2526 2529 2614 , m2485 f2200 m2474 (f2476) m2202 f2195 m2207 f2497 f2499 f2605 (m2607) f2526 m2529 f2614 , MFMSDSWMMFDSD, 2485 2614, 2207 2497, G0, 3, G0, 3, 7, 6
530, 2485, m, 2614, f, 2207, m, 2497, f, 2485 2200 2474 2476 2202 2195 2207 2497 2499 2605 6117 2526 2529 2614 , m2485 f2200 m2474 (f2476) m2202 f2195 m2207 f2497 f2499 f2605 (f6117) f2526 m2529 f2614 , MFMSDSWMMMDSD, 2485 2614, 2207 2497, G0, 3, G0, 3, 7, 6
530, 2485, m, 2614, f, 2207, m, 2497, f, 2485 2200 2474 2476 2202 2195 2207 2497 2499 2605 6117 2526 2529 2614 , m2485 f2200 m2474 (f2476) m2202 f2195 m2207 f2497 f2499 f2605 (f6117) f2526 m2529 f2614 , MFMSDSWMMMDSD, 2485 2614, 2207 2497, G0, 3, G0, 3, 7, 6
545, 2379, m, 2385, f, 2208, m, 2212, f, 2379 2352 2324 2351 2212 2208 2195 2202 2475 2474 2478 2385 , m2379 f2352 (m2324) f2351 f2212 m2208 f2195 m2202 (m2475) m2474 m2478 f2385 , MFDDHMFFSSD, 2379 2385, 2208 2212, G0, 2, G0, 3, 5, 6
545, 2379, m, 2385, f, 2208, m, 2212, f, 2379 2352 2324 2351 2212 2208 2195 2202 2475 2474 2478 2385 , m2379 f2352 (m2324) f2351 f2212 m2208 f2195 m2202 (m2475) m2474 m2478 f2385 , MFDDHMFFSSD, 2379 2385, 2208 2212, G0, 2, G0, 3, 5, 6
546, 2379, m, 2385, f, 2208, m, 2212, f, 2379 2352 2325 2351 2212 2208 2195 2202 2475 2474 2478 2385 , m2379 f2352 (f2325) f2351 f2212 m2208 f2195 m2202 (m2475) m2474 m2478 f2385 , MMDDHMFFSSD, 2379 2385, 2208 2212, G0, 2, G0, 3, 5, 6
546, 2379, m, 2385, f, 2208, m, 2212, f, 2379 2352 2325 2351 2212 2208 2195 2202 2475 2474 2478 2385 , m2379 f2352 (f2325) f2351 f2212 m2208 f2195 m2202 (m2475) m2474 m2478 f2385 , MMDDHMFFSSD, 2379 2385, 2208 2212, G0, 2, G0, 3, 5, 6
547, 2379, m, 2385, f, 2208, m, 2212, f, 2379 2352 2324 2351 2212 2208 2195 2202 2476 2474 2478 2385 , m2379 f2352 (m2324) f2351 f2212 m2208 f2195 m2202 (f2476) m2474 m2478 f2385 , MFDDHMFMSSD, 2379 2385, 2208 2212, G0, 2, G0, 3, 5, 6
547, 2379, m, 2385, f, 2208, m, 2212, f, 2379 2352 2324 2351 2212 2208 2195 2202 2476 2474 2478 2385 , m2379 f2352 (m2324) f2351 f2212 m2208 f2195 m2202 (f2476) m2474 m2478 f2385 , MFDDHMFMSSD, 2379 2385, 2208 2212, G0, 2, G0, 3, 5, 6
548, 2379, m, 2385, f, 2208, m, 2212, f, 2379 2352 2325 2351 2212 2208 2195 2202 2476 2474 2478 2385 , m2379 f2352 (f2325) f2351 f2212 m2208 f2195 m2202 (f2476) m2474 m2478 f2385 , MMDDHMFMSSD, 2379 2385, 2208 2212, G0, 2, G0, 3, 5, 6
548, 2379, m, 2385, f, 2208, m, 2212, f, 2379 2352 2325 2351 2212 2208 2195 2202 2476 2474 2478 2385 , m2379 f2352 (f2325) f2351 f2212 m2208 f2195 m2202 (f2476) m2474 m2478 f2385 , MMDDHMFMSSD, 2379 2385, 2208 2212, G0, 2, G0, 3, 5, 6
803, 2358, m, 2351, f, 2766, m, 2513, f, 2358 2511 2513 2766 2336 2324 2351 , m2358 (m2511) f2513 m2766 (m2336) m2324 f2351 , FDHFSD, 2351 2358, 2513 2766, G0, 1, G-1, 1, 3, 3
803, 2358, m, 2351, f, 2766, m, 2513, f, 2358 2511 2513 2766 2336 2324 2351 , m2358 (m2511) f2513 m2766 (m2336) m2324 f2351 , FDHFSD, 2351 2358, 2513 2766, G0, 1, G-1, 1, 3, 3
804, 2358, m, 2351, f, 2766, m, 2513, f, 2358 6569 2513 2766 2336 2324 2351 , m2358 (f6569) f2513 m2766 (m2336) m2324 f2351 , MDHFSD, 2351 2358, 2513 2766, G0, 1, G-1, 1, 3, 3
804, 2358, m, 2351, f, 2766, m, 2513, f, 2358 6569 2513 2766 2336 2324 2351 , m2358 (f6569) f2513 m2766 (m2336) m2324 f2351 , MDHFSD, 2351 2358, 2513 2766, G0, 1, G-1, 1, 3, 3
805, 2358, m, 2351, f, 2766, m, 2513, f, 2358 2511 2513 2766 2337 2324 2351 , m2358 (m2511) f2513 m2766 (f2337) m2324 f2351 , FDHMSD, 2351 2358, 2513 2766, G0, 1, G-1, 1, 3, 3
805, 2358, m, 2351, f, 2766, m, 2513, f, 2358 2511 2513 2766 2337 2324 2351 , m2358 (m2511) f2513 m2766 (f2337) m2324 f2351 , FDHMSD, 2351 2358, 2513 2766, G0, 1, G-1, 1, 3, 3
806, 2358, m, 2351, f, 2766, m, 2513, f, 2358 6569 2513 2766 2337 2324 2351 , m2358 (f6569) f2513 m2766 (f2337) m2324 f2351 , MDHMSD, 2351 2358, 2513 2766, G0, 1, G-1, 1, 3, 3
806, 2358, m, 2351, f, 2766, m, 2513, f, 2358 6569 2513 2766 2337 2324 2351 , m2358 (f6569) f2513 m2766 (f2337) m2324 f2351 , MDHMSD, 2351 2358, 2513 2766, G0, 1, G-1, 1, 3, 3
821, 2379, m, 2385, f, 2353, m, 2360, f, 2379 2352 2324 2353 2360 2527 2526 2607 2605 2482 2385 , m2379 f2352 (m2324) m2353 f2360 m2527 f2526 (m2607) f2605 f2482 f2385 , MFSWFMFDDD, 2379 2385, 2353 2360, G1, 1, G0, 3, 4, 6
821, 2379, m, 2385, f, 2353, m, 2360, f, 2379 2352 2324 2353 2360 2527 2526 2607 2605 2482 2385 , m2379 f2352 (m2324) m2353 f2360 m2527 f2526 (m2607) f2605 f2482 f2385 , MFSWFMFDDD, 2379 2385, 2353 2360, G1, 1, G0, 3, 4, 6
822, 2379, m, 2385, f, 2353, m, 2360, f, 2379 2352 2324 2353 2360 2527 2526 6117 2605 2482 2385 , m2379 f2352 (m2324) m2353 f2360 m2527 f2526 (f6117) f2605 f2482 f2385 , MFSWFMMDDD, 2379 2385, 2353 2360, G1, 1, G0, 3, 4, 6
822, 2379, m, 2385, f, 2353, m, 2360, f, 2379 2352 2324 2353 2360 2527 2526 6117 2605 2482 2385 , m2379 f2352 (m2324) m2353 f2360 m2527 f2526 (f6117) f2605 f2482 f2385 , MFSWFMMDDD, 2379 2385, 2353 2360, G1, 1, G0, 3, 4, 6
823, 2379, m, 2385, f, 2353, m, 2360, f, 2379 2352 2325 2353 2360 2527 2526 2607 2605 2482 2385 , m2379 f2352 (f2325) m2353 f2360 m2527 f2526 (m2607) f2605 f2482 f2385 , MMSWFMFDDD, 2379 2385, 2353 2360, G1, 1, G0, 3, 4, 6
823, 2379, m, 2385, f, 2353, m, 2360, f, 2379 2352 2325 2353 2360 2527 2526 2607 2605 2482 2385 , m2379 f2352 (f2325) m2353 f2360 m2527 f2526 (m2607) f2605 f2482 f2385 , MMSWFMFDDD, 2379 2385, 2353 2360, G1, 1, G0, 3, 4, 6
824, 2379, m, 2385, f, 2353, m, 2360, f, 2379 2352 2325 2353 2360 2527 2526 6117 2605 2482 2385 , m2379 f2352 (f2325) m2353 f2360 m2527 f2526 (f6117) f2605 f2482 f2385 , MMSWFMMDDD, 2379 2385, 2353 2360, G1, 1, G0, 3, 4, 6
824, 2379, m, 2385, f, 2353, m, 2360, f, 2379 2352 2325 2353 2360 2527 2526 6117 2605 2482 2385 , m2379 f2352 (f2325) m2353 f2360 m2527 f2526 (f6117) f2605 f2482 f2385 , MMSWFMMDDD, 2379 2385, 2353 2360, G1, 1, G0, 3, 4, 6
983, 2379, m, 2385, f, 2365, m, 2369, f, 2379 2352 2324 2351 2365 2369 3040 2739 2264 2726 2725 2478 2385 , m2379 f2352 (m2324) f2351 m2365 f2369 m3040 f2739 m2264 (f2726) f2725 m2478 f2385 , MFDSWFMFMDSD, 2379 2385, 2365 2369, G0, 2, G1, 3, 5, 7
983, 2379, m, 2385, f, 2365, m, 2369, f, 2379 2352 2324 2351 2365 2369 3040 2739 2264 2726 2725 2478 2385 , m2379 f2352 (m2324) f2351 m2365 f2369 m3040 f2739 m2264 (f2726) f2725 m2478 f2385 , MFDSWFMFMDSD, 2379 2385, 2365 2369, G0, 2, G1, 3, 5, 7
984, 2379, m, 2385, f, 2365, m, 2369, f, 2379 2352 2325 2351 2365 2369 3040 2739 2264 2726 2725 2478 2385 , m2379 f2352 (f2325) f2351 m2365 f2369 m3040 f2739 m2264 (f2726) f2725 m2478 f2385 , MMDSWFMFMDSD, 2379 2385, 2365 2369, G0, 2, G1, 3, 5, 7
984, 2379, m, 2385, f, 2365, m, 2369, f, 2379 2352 2325 2351 2365 2369 3040 2739 2264 2726 2725 2478 2385 , m2379 f2352 (f2325) f2351 m2365 f2369 m3040 f2739 m2264 (f2726) f2725 m2478 f2385 , MMDSWFMFMDSD, 2379 2385, 2365 2369, G0, 2, G1, 3, 5, 7
1852, 2485, m, 2614, f, 2478, m, 2482, f, 2485 2200 2474 2478 2482 2605 2607 2526 2529 2614 , m2485 f2200 (m2474) m2478 f2482 f2605 (m2607) f2526 m2529 f2614 , MFSWMFDSD, 2485 2614, 2478 2482, G1, 1, G-1, 2, 4, 5
1852, 2485, m, 2614, f, 2478, m, 2482, f, 2485 2200 2474 2478 2482 2605 2607 2526 2529 2614 , m2485 f2200 (m2474) m2478 f2482 f2605 (m2607) f2526 m2529 f2614 , MFSWMFDSD, 2485 2614, 2478 2482, G1, 1, G-1, 2, 4, 5
1853, 2485, m, 2614, f, 2478, m, 2482, f, 2485 2200 2474 2478 2482 2605 6117 2526 2529 2614 , m2485 f2200 (m2474) m2478 f2482 f2605 (f6117) f2526 m2529 f2614 , MFSWMMDSD, 2485 2614, 2478 2482, G1, 1, G-1, 2, 4, 5
1853, 2485, m, 2614, f, 2478, m, 2482, f, 2485 2200 2474 2478 2482 2605 6117 2526 2529 2614 , m2485 f2200 (m2474) m2478 f2482 f2605 (f6117) f2526 m2529 f2614 , MFSWMMDSD, 2485 2614, 2478 2482, G1, 1, G-1, 2, 4, 5
1854, 2485, m, 2614, f, 2478, m, 2482, f, 2485 2200 2725 2478 2482 2605 2607 2526 2529 2614 , m2485 f2200 (f2725) m2478 f2482 f2605 (m2607) f2526 m2529 f2614 , MMSWMFDSD, 2485 2614, 2478 2482, G1, 1, G-1, 2, 4, 5
1854, 2485, m, 2614, f, 2478, m, 2482, f, 2485 2200 2725 2478 2482 2605 2607 2526 2529 2614 , m2485 f2200 (f2725) m2478 f2482 f2605 (m2607) f2526 m2529 f2614 , MMSWMFDSD, 2485 2614, 2478 2482, G1, 1, G-1, 2, 4, 5
1855, 2485, m, 2614, f, 2478, m, 2482, f, 2485 2200 2725 2478 2482 2605 6117 2526 2529 2614 , m2485 f2200 (f2725) m2478 f2482 f2605 (f6117) f2526 m2529 f2614 , MMSWMMDSD, 2485 2614, 2478 2482, G1, 1, G-1, 2, 4, 5
1855, 2485, m, 2614, f, 2478, m, 2482, f, 2485 2200 2725 2478 2482 2605 6117 2526 2529 2614 , m2485 f2200 (f2725) m2478 f2482 f2605 (f6117) f2526 m2529 f2614 , MMSWMMDSD, 2485 2614, 2478 2482, G1, 1, G-1, 2, 4, 5
1860, 2676, m, 2677, f, 2478, m, 2482, f, 2676 2172 2726 2725 2478 2482 2605 2607 2526 2527 2677 , m2676 m2172 (f2726) f2725 m2478 f2482 f2605 (m2607) f2526 m2527 f2677 , FMDSWMFDSD, 2676 2677, 2478 2482, G0, 2, G-1, 2, 5, 5
1860, 2676, m, 2677, f, 2478, m, 2482, f, 2676 2172 2726 2725 2478 2482 2605 2607 2526 2527 2677 , m2676 m2172 (f2726) f2725 m2478 f2482 f2605 (m2607) f2526 m2527 f2677 , FMDSWMFDSD, 2676 2677, 2478 2482, G0, 2, G-1, 2, 5, 5
1861, 2676, m, 2677, f, 2478, m, 2482, f, 2676 2172 2726 2725 2478 2482 2605 6117 2526 2527 2677 , m2676 m2172 (f2726) f2725 m2478 f2482 f2605 (f6117) f2526 m2527 f2677 , FMDSWMMDSD, 2676 2677, 2478 2482, G0, 2, G-1, 2, 5, 5
1861, 2676, m, 2677, f, 2478, m, 2482, f, 2676 2172 2726 2725 2478 2482 2605 6117 2526 2527 2677 , m2676 m2172 (f2726) f2725 m2478 f2482 f2605 (f6117) f2526 m2527 f2677 , FMDSWMMDSD, 2676 2677, 2478 2482, G0, 2, G-1, 2, 5, 5
1885, 2676, m, 2677, f, 2485, m, 2614, f, 2676 2172 2726 2725 2200 2485 2614 2529 2525 2527 2677 , m2676 m2172 (f2726) f2725 f2200 m2485 f2614 m2529 (m2525) m2527 f2677 , FMDDSWFFSD, 2676 2677, 2485 2614, G-1, 2, G0, 2, 6, 4
1885, 2676, m, 2677, f, 2485, m, 2614, f, 2676 2172 2726 2725 2200 2485 2614 2529 2525 2527 2677 , m2676 m2172 (f2726) f2725 f2200 m2485 f2614 m2529 (m2525) m2527 f2677 , FMDDSWFFSD, 2676 2677, 2485 2614, G-1, 2, G0, 2, 6, 4
1886, 2676, m, 2677, f, 2485, m, 2614, f, 2676 2172 2726 2725 2200 2485 2614 2529 2526 2527 2677 , m2676 m2172 (f2726) f2725 f2200 m2485 f2614 m2529 (f2526) m2527 f2677 , FMDDSWFMSD, 2676 2677, 2485 2614, G-1, 2, G0, 2, 6, 4
1886, 2676, m, 2677, f, 2485, m, 2614, f, 2676 2172 2726 2725 2200 2485 2614 2529 2526 2527 2677 , m2676 m2172 (f2726) f2725 f2200 m2485 f2614 m2529 (f2526) m2527 f2677 , FMDDSWFMSD, 2676 2677, 2485 2614, G-1, 2, G0, 2, 6, 4
1975, 2993, m, 2994, f, 2552, m, 2557, f, 2993 6511 6663 2551 2552 2557 2008 2006 2823 2994 , m2993 f6511 (m6663) f2551 m2552 f2557 m2008 (m2006) m2823 f2994 , MFDSWFFSD, 2993 2994, 2552 2557, G0, 2, G0, 2, 5, 4
1976, 2993, m, 2994, f, 2552, m, 2557, f, 2993 6511 6663 2551 2552 2557 2008 6657 2823 2994 , m2993 f6511 (m6663) f2551 m2552 f2557 m2008 (f6657) m2823 f2994 , MFDSWFMSD, 2993 2994, 2552 2557, G0, 2, G0, 2, 5, 4
1977, 2993, m, 2994, f, 2552, m, 2557, f, 2993 6511 6664 2551 2552 2557 2008 2006 2823 2994 , m2993 f6511 (f6664) f2551 m2552 f2557 m2008 (m2006) m2823 f2994 , MMDSWFFSD, 2993 2994, 2552 2557, G0, 2, G0, 2, 5, 4
1978, 2993, m, 2994, f, 2552, m, 2557, f, 2993 6511 6664 2551 2552 2557 2008 6657 2823 2994 , m2993 f6511 (f6664) f2551 m2552 f2557 m2008 (f6657) m2823 f2994 , MMDSWFMSD, 2993 2994, 2552 2557, G0, 2, G0, 2, 5, 4
2007, 4969, m, 4970, f, 2723, m, 2828, f, 4969 2721 2723 2828 2824 2823 2006 2004 2096 4970 , m4969 (m2721) m2723 f2828 m2824 m2823 (m2006) m2004 m2096 f4970 , FSWFFFSSD, 4969 4970, 2723 2828, G0, 1, G0, 3, 3, 6
2007, 4969, m, 4970, f, 2723, m, 2828, f, 4969 2721 2723 2828 2824 2823 2006 2004 2096 4970 , m4969 (m2721) m2723 f2828 m2824 m2823 (m2006) m2004 m2096 f4970 , FSWFFFSSD, 4969 4970, 2723 2828, G0, 1, G0, 3, 3, 6
2008, 4969, m, 4970, f, 2723, m, 2828, f, 4969 2722 2723 2828 2824 2823 2006 2004 2096 4970 , m4969 (f2722) m2723 f2828 m2824 m2823 (m2006) m2004 m2096 f4970 , MSWFFFSSD, 4969 4970, 2723 2828, G0, 1, G0, 3, 3, 6
2008, 4969, m, 4970, f, 2723, m, 2828, f, 4969 2722 2723 2828 2824 2823 2006 2004 2096 4970 , m4969 (f2722) m2723 f2828 m2824 m2823 (m2006) m2004 m2096 f4970 , MSWFFFSSD, 4969 4970, 2723 2828, G0, 1, G0, 3, 3, 6
2013, 2881, m, 2878, f, 2833, m, 2834, f, 2881 2865 2837 2834 2833 2878 , m2881 f2865 (m2837) f2834 (m2833) f2878 , MFDHD, 2878 2881, 2833 2834, G1, 1, G-1, 0, 4, 1
2013, 2881, m, 2878, f, 2833, m, 2834, f, 2881 2865 2837 2834 2833 2878 , m2881 f2865 (m2837) f2834 (m2833) f2878 , MFDHD, 2878 2881, 2833 2834, G1, 1, G-1, 0, 4, 1
2014, 2881, m, 2878, f, 2833, m, 2834, f, 2881 2865 2838 2834 2833 2878 , m2881 f2865 (f2838) f2834 (m2833) f2878 , MMDHD, 2878 2881, 2833 2834, G1, 1, G-1, 0, 4, 1
2014, 2881, m, 2878, f, 2833, m, 2834, f, 2881 2865 2838 2834 2833 2878 , m2881 f2865 (f2838) f2834 (m2833) f2878 , MMDHD, 2878 2881, 2833 2834, G1, 1, G-1, 0, 4, 1
2015, 6621, m, 6622, f, 2844, m, 2841, f, 6621 6515 2842 2841 2844 6983 6242 6622 , m6621 f6515 (m2842) f2841 m2844 (m6983) f6242 f6622 , MFDHFDD, 6621 6622, 2841 2844, G1, 1, G-1, 1, 4, 3
2015, 6621, m, 6622, f, 2844, m, 2841, f, 6621 6515 2842 2841 2844 6983 6242 6622 , m6621 f6515 (m2842) f2841 m2844 (m6983) f6242 f6622 , MFDHFDD, 6621 6622, 2841 2844, G1, 1, G-1, 1, 4, 3
2016, 6621, m, 6622, f, 2844, m, 2841, f, 6621 6515 2842 2841 2844 6984 6242 6622 , m6621 f6515 (m2842) f2841 m2844 (f6984) f6242 f6622 , MFDHMDD, 6621 6622, 2841 2844, G1, 1, G-1, 1, 4, 3
2016, 6621, m, 6622, f, 2844, m, 2841, f, 6621 6515 2842 2841 2844 6984 6242 6622 , m6621 f6515 (m2842) f2841 m2844 (f6984) f6242 f6622 , MFDHMDD, 6621 6622, 2841 2844, G1, 1, G-1, 1, 4, 3
2017, 6621, m, 6622, f, 2844, m, 2841, f, 6621 6515 2843 2841 2844 6983 6242 6622 , m6621 f6515 (f2843) f2841 m2844 (m6983) f6242 f6622 , MMDHFDD, 6621 6622, 2841 2844, G1, 1, G-1, 1, 4, 3
2017, 6621, m, 6622, f, 2844, m, 2841, f, 6621 6515 2843 2841 2844 6983 6242 6622 , m6621 f6515 (f2843) f2841 m2844 (m6983) f6242 f6622 , MMDHFDD, 6621 6622, 2841 2844, G1, 1, G-1, 1, 4, 3
2018, 6621, m, 6622, f, 2844, m, 2841, f, 6621 6515 2843 2841 2844 6984 6242 6622 , m6621 f6515 (f2843) f2841 m2844 (f6984) f6242 f6622 , MMDHMDD, 6621 6622, 2841 2844, G1, 1, G-1, 1, 4, 3
2018, 6621, m, 6622, f, 2844, m, 2841, f, 6621 6515 2843 2841 2844 6984 6242 6622 , m6621 f6515 (f2843) f2841 m2844 (f6984) f6242 f6622 , MMDHMDD, 6621 6622, 2841 2844, G1, 1, G-1, 1, 4, 3
2019, 2993, m, 2994, f, 3162, m, 3163, f, 2993 6510 6841 3162 3163 6843 3657 2994 , m2993 m6510 (m6841) m3162 f3163 (m6843) f3657 f2994 , FFSWFDD, 2993 2994, 3162 3163, G1, 1, G-1, 1, 4, 3
2019, 2993, m, 2994, f, 3162, m, 3163, f, 2993 6510 6841 3162 3163 6843 3657 2994 , m2993 m6510 (m6841) m3162 f3163 (m6843) f3657 f2994 , FFSWFDD, 2993 2994, 3162 3163, G1, 1, G-1, 1, 4, 3
2020, 2993, m, 2994, f, 3162, m, 3163, f, 2993 6510 6841 3162 3163 6844 3657 2994 , m2993 m6510 (m6841) m3162 f3163 (f6844) f3657 f2994 , FFSWMDD, 2993 2994, 3162 3163, G1, 1, G-1, 1, 4, 3
2020, 2993, m, 2994, f, 3162, m, 3163, f, 2993 6510 6841 3162 3163 6844 3657 2994 , m2993 m6510 (m6841) m3162 f3163 (f6844) f3657 f2994 , FFSWMDD, 2993 2994, 3162 3163, G1, 1, G-1, 1, 4, 3
2021, 2993, m, 2994, f, 3162, m, 3163, f, 2993 6510 6842 3162 3163 6843 3657 2994 , m2993 m6510 (f6842) m3162 f3163 (m6843) f3657 f2994 , FMSWFDD, 2993 2994, 3162 3163, G1, 1, G-1, 1, 4, 3
2021, 2993, m, 2994, f, 3162, m, 3163, f, 2993 6510 6842 3162 3163 6843 3657 2994 , m2993 m6510 (f6842) m3162 f3163 (m6843) f3657 f2994 , FMSWFDD, 2993 2994, 3162 3163, G1, 1, G-1, 1, 4, 3
2022, 2993, m, 2994, f, 3162, m, 3163, f, 2993 6510 6842 3162 3163 6844 3657 2994 , m2993 m6510 (f6842) m3162 f3163 (f6844) f3657 f2994 , FMSWMDD, 2993 2994, 3162 3163, G1, 1, G-1, 1, 4, 3
2022, 2993, m, 2994, f, 3162, m, 3163, f, 2993 6510 6842 3162 3163 6844 3657 2994 , m2993 m6510 (f6842) m3162 f3163 (f6844) f3657 f2994 , FMSWMDD, 2993 2994, 3162 3163, G1, 1, G-1, 1, 4, 3
2023, 4152, m, 4153, f, 3119, m, 6122, f, 4152 6123 6122 3119 6120 6724 4153 , m4152 (m6123) f6122 m3119 (m6120) f6724 f4153 , FDHFDD, 4152 4153, 3119 6122, G0, 1, G-1, 1, 3, 3
2024, 4152, m, 4153, f, 3119, m, 6122, f, 4152 6124 6122 3119 6120 6724 4153 , m4152 (f6124) f6122 m3119 (m6120) f6724 f4153 , MDHFDD, 4152 4153, 3119 6122, G0, 1, G-1, 1, 3, 3
2025, 4152, m, 4153, f, 3119, m, 6122, f, 4152 6123 6122 3119 6121 6724 4153 , m4152 (m6123) f6122 m3119 (f6121) f6724 f4153 , FDHMDD, 4152 4153, 3119 6122, G0, 1, G-1, 1, 3, 3
2026, 4152, m, 4153, f, 3119, m, 6122, f, 4152 6124 6122 3119 6121 6724 4153 , m4152 (f6124) f6122 m3119 (f6121) f6724 f4153 , MDHMDD, 4152 4153, 3119 6122, G0, 1, G-1, 1, 3, 3
2031, 3187, m, 3190, f, 3572, m, 4529, f, 3187 3189 6045 4529 3572 6114 7049 6586 3191 3190 , m3187 f3189 (m6045) f4529 m3572 f6114 (m7049) m6586 m3191 f3190 , MFDHMFSSD, 3187 3190, 3572 4529, G1, 1, G-1, 2, 4, 5
2031, 3187, m, 3190, f, 3572, m, 4529, f, 3187 3189 6045 4529 3572 6114 7049 6586 3191 3190 , m3187 f3189 (m6045) f4529 m3572 f6114 (m7049) m6586 m3191 f3190 , MFDHMFSSD, 3187 3190, 3572 4529, G1, 1, G-1, 2, 4, 5
2032, 3187, m, 3190, f, 3572, m, 4529, f, 3187 3189 6045 4529 3572 6114 7050 6586 3191 3190 , m3187 f3189 (m6045) f4529 m3572 f6114 (f7050) m6586 m3191 f3190 , MFDHMMSSD, 3187 3190, 3572 4529, G1, 1, G-1, 2, 4, 5
2032, 3187, m, 3190, f, 3572, m, 4529, f, 3187 3189 6045 4529 3572 6114 7050 6586 3191 3190 , m3187 f3189 (m6045) f4529 m3572 f6114 (f7050) m6586 m3191 f3190 , MFDHMMSSD, 3187 3190, 3572 4529, G1, 1, G-1, 2, 4, 5
